aten_name,diopi_fun,args,count
fill_.Scalar,diopiFill,"['self:[numel: 8192, sizes:@[8192]@, stride:@[1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @value:[0] ']",1
fill_.Scalar,diopiFill,"['self:[numel: 8192, sizes:@[8192]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, ] @value:[1] ']",161
fill_.Scalar,diopiFill,"['self:[numel: 1, sizes:@[1]@, stride:@[1]@, dtype: bool, memory_format: Contiguous, ] @value:[0] ']",19
fill_.Scalar,diopiFill,"['self:[numel: 2048000, sizes:@[2048000]@, stride:@[1]@, dtype: float, memory_format: Contiguous, ] @value:[0] ']",3
fill_.Scalar,diopiFill,"['self:[numel: 2048000, sizes:@[2048000]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, ] @value:[0] ']",1
fill_.Scalar,diopiFill,"['self:[numel: 50176, sizes:@[224, 224]@, stride:@[224, 1]@, dtype: float, memory_format: Contiguous, ] @value:[-65504] ']",2
fill_.Scalar,diopiFill,"['self:[numel: 50176, sizes:@[1, 1, 224, 224]@, stride:@[50176, 50176, 224, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @value:[1] ']",2
fill_.Scalar,diopiFill,"['self:[numel: 1, sizes:@[]@, stride:@[]@, dtype: float, memory_format: Contiguous, ] @value:[1] ']",72
fill_.Scalar,diopiFill,"['self:[numel: 7136000, sizes:@[1, 223, 32000]@, stride:@[7136000, 32000, 1]@, dtype: float, memory_format: Contiguous, ] @value:[0] ']",2
fill_.Scalar,diopiFill,"['self:[numel: 7168000, sizes:@[1, 224, 32000]@, stride:@[7168000, 32000, 1]@, dtype: float, memory_format: Contiguous, ] @value:[0] ']",2
fill_.Scalar,diopiFill,"['self:[numel: 229376, sizes:@[1, 8, 1, 224, 128]@, stride:@[229376, 28672, 28672, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @value:[0] ']",636
fill_.Scalar,diopiFill,"['self:[numel: 229376, sizes:@[1, 8, 224, 128]@, stride:@[229376, 28672, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @value:[0] ']",952
fill_.Scalar,diopiFill,"['self:[numel: 1835008, sizes:@[1, 64, 224, 128]@, stride:@[1835008, 28672, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @value:[0] ']",320
fill_.Scalar,diopiFill,"['self:[numel: 3136, sizes:@[56, 56]@, stride:@[56, 1]@, dtype: float, memory_format: Contiguous, ] @value:[-65504] ']",3
fill_.Scalar,diopiFill,"['self:[numel: 3136, sizes:@[1, 1, 56, 56]@, stride:@[3136, 3136, 56, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @value:[1] ']",3
fill_.Scalar,diopiFill,"['self:[numel: 1760000, sizes:@[1, 55, 32000]@, stride:@[1760000, 32000, 1]@, dtype: float, memory_format: Contiguous, ] @value:[0] ']",3
fill_.Scalar,diopiFill,"['self:[numel: 1792000, sizes:@[1, 56, 32000]@, stride:@[1792000, 32000, 1]@, dtype: float, memory_format: Contiguous, ] @value:[0] ']",3
