aten_name,diopi_fun,args,count
div.out,diopiDiv,[],652
div.Scalar_out,diopiDivScalar,"['self:[numel: 1, sizes:@[]@, stride:@[]@, dtype: float, memory_format: Contiguous, ] @other:[4] @out:[numel: 1, sizes:@[]@, stride:@[]@, dtype: float, memory_format: Contiguous, ] ']",8
div.Scalar_out,diopiDivScalar,"['self:[numel: 802816, sizes:@[1, 64, 112, 112]@, stride:@[802816, 12544, 112, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @other:[11.3137] @out:[numel: 802816, sizes:@[1, 64, 112, 112]@, stride:@[802816, 12544, 112, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",80
div.Scalar_out,diopiDivScalar,"['self:[numel: 1, sizes:@[]@, stride:@[]@, dtype: float, requires_grad: true, memory_format: Contiguous, ] @other:[4] @out:[numel: 1, sizes:@[]@, stride:@[]@, dtype: float, memory_format: Contiguous, ] ']",4
div.Scalar_out,diopiDivScalar,"['self:[numel: 802816, sizes:@[1, 64, 112, 112]@, stride:@[802816, 12544, 112, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[11.3137] @out:[numel: 802816, sizes:@[1, 64, 112, 112]@, stride:@[802816, 12544, 112, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",80
div.Scalar_out,diopiDivScalar,"['self:[numel: 1638400, sizes:@[1, 64, 160, 160]@, stride:@[1638400, 25600, 160, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @other:[11.3137] @out:[numel: 1638400, sizes:@[1, 64, 160, 160]@, stride:@[1638400, 25600, 160, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",80
div.Scalar_out,diopiDivScalar,"['self:[numel: 1638400, sizes:@[1, 64, 160, 160]@, stride:@[1638400, 25600, 160, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[11.3137] @out:[numel: 1638400, sizes:@[1, 64, 160, 160]@, stride:@[1638400, 25600, 160, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",80
div.Scalar_out,diopiDivScalar,"['self:[numel: 495616, sizes:@[1, 64, 88, 88]@, stride:@[495616, 7744, 88, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @other:[11.3137] @out:[numel: 495616, sizes:@[1, 64, 88, 88]@, stride:@[495616, 7744, 88, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",80
div.Scalar_out,diopiDivScalar,"['self:[numel: 495616, sizes:@[1, 64, 88, 88]@, stride:@[495616, 7744, 88, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[11.3137] @out:[numel: 495616, sizes:@[1, 64, 88, 88]@, stride:@[495616, 7744, 88, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",80
div.Scalar_out,diopiDivScalar,"['self:[numel: 1183744, sizes:@[1, 64, 136, 136]@, stride:@[1183744, 18496, 136, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @other:[11.3137] @out:[numel: 1183744, sizes:@[1, 64, 136, 136]@, stride:@[1183744, 18496, 136, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",80
