aten_name,diopi_fun,args,count
div.out,diopiDiv,[],653
div.Scalar_out,diopiDivScalar,"['self:[numel: 802816, sizes: [1, 64, 112, 112], stride: [802816, 12544, 112, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[11.3137] ', 'out:[numel: 802816, sizes: [1, 64, 112, 112], stride: [802816, 12544, 112, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",653
div.Scalar_out,diopiDivScalar,"['self:[numel: 1183744, sizes: [1, 64, 136, 136], stride: [1183744, 18496, 136, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[11.3137] ', 'out:[numel: 1183744, sizes: [1, 64, 136, 136], stride: [1183744, 18496, 136, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",653
div.Scalar_out,diopiDivScalar,"['self:[numel: 1638400, sizes: [1, 64, 160, 160], stride: [1638400, 25600, 160, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[11.3137] ', 'out:[numel: 1638400, sizes: [1, 64, 160, 160], stride: [1638400, 25600, 160, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",653
div.Scalar_out,diopiDivScalar,"['self:[numel: 1, sizes: [], stride: [], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[4] ', 'out:[numel: 1, sizes: [], stride: [], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",653
div.Scalar_out,diopiDivScalar,"['self:[numel: 495616, sizes: [1, 64, 88, 88], stride: [495616, 7744, 88, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[11.3137] ', 'out:[numel: 495616, sizes: [1, 64, 88, 88], stride: [495616, 7744, 88, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",653
isnan,diopiIsNan,"['self:[numel: 2048000, sizes: [2048000], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'out:[numel: 2048000, sizes: [2048000], stride: [1], is_view: 0, dtype: bool, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",6
isnan,diopiIsNan,"['self:[numel: 1, sizes: [], stride: [], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'out:[numel: 1, sizes: [], stride: [], is_view: 0, dtype: bool, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",6
abs,diopiAbs,"['self:[numel: 6, sizes: [6], stride: [1], is_view: 1, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'out:[numel: 6, sizes: [6], stride: [1], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",7
abs,diopiAbs,"['self:[numel: 1, sizes: [], stride: [], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'out:[numel: 1, sizes: [], stride: [], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",7
